frame,matches,cx,cy,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,kcx,kcy,ktl_x,ktl_y,ktr_x,ktr_y,kbl_x,kbl_y,kbr_x,kbr_y
73,139,310.6906,211.16316,378.18695,318.9814,241.55992,326.80713,376.6677,102.33263,242.22443,101.43326,309.77216,211.95335,378.8363,323.07852,241.65306,326.14938,376.27158,102.01673,244.38878,106.3998
74,142,310.16843,211.30623,378.83966,322.1982,242.03487,326.89532,375.9748,101.216606,244.15912,104.35847,309.008,212.02698,380.6356,324.2514,240.46777,325.47845,376.56677,101.764175,242.34761,107.24012
75,148,309.94,211.98222,378.0185,321.81442,244.31242,324.4751,375.72214,100.80221,244.17934,105.53916,308.49347,212.19095,381.55655,324.83258,240.2926,324.5413,376.67172,101.460976,241.07489,107.91079
76,152,309.31787,212.22026,380.95718,323.90726,244.62743,323.12573,376.83054,98.09662,243.82861,109.783966,307.92184,212.39359,382.95404,325.75473,240.31169,323.43484,377.0058,100.54082,240.00063,109.44144
77,163,310.06467,211.4916,378.27612,320.2554,242.799,324.06653,376.03912,102.640396,241.8708,102.40109,307.66702,212.36038,383.44315,325.58646,239.94887,322.7079,377.09042,100.851776,238.64558,108.89383
78,136,310.57602,210.6697,379.94974,322.80994,242.58699,322.15375,377.5727,102.365295,244.21942,103.056175,307.77402,212.0677,383.87805,325.78882,239.82935,321.80286,377.47748,101.10869,238.53377,108.27013
79,148,311.11737,210.14418,381.4661,322.5991,244.61342,320.56613,377.98636,100.68188,245.92706,105.593956,308.14267,211.6722,384.3063,325.68692,240.43039,320.83444,377.83945,100.92652,239.23645,108.19015
80,151,311.69653,209.6396,382.92697,325.4578,245.63548,318.69754,379.49686,99.266914,249.85664,108.75626,308.63068,211.23471,384.88153,326.2133,241.25525,319.6649,378.47763,100.43884,240.93213,108.82324
81,143,312.27164,209.77805,380.44806,320.77988,243.50801,322.6095,377.7631,103.81982,247.26706,103.591286,309.2459,210.85703,384.69952,325.48114,241.4685,319.67325,378.57904,101.13679,241.80151,108.069496
82,141,312.3639,209.94002,383.52798,325.46564,247.00826,316.67236,381.2467,99.015884,250.43553,109.074486,309.78946,210.59158,385.24866,325.95807,242.5318,318.26096,379.5082,100.5765,243.37625,108.726875
83,149,313.82724,209.89305,382.60992,322.728,246.86082,318.86093,380.141,103.51372,249.84572,104.59172,310.66162,210.35318,385.24585,325.56555,243.44643,317.81558,379.92773,101.194145,244.67242,108.08843
84,144,313.96216,211.54773,382.7345,326.4058,248.3746,318.55414,381.52518,102.845215,253.5337,110.28852,311.3904,210.55988,385.15118,326.00232,244.53412,317.506,380.51874,101.55171,246.57368,108.78641
85,154,313.90216,213.18335,376.00183,318.47922,244.27626,326.9975,376.9911,111.50618,246.64156,98.762245,312.07224,211.02525,383.62854,324.64926,244.56502,319.05728,380.05167,103.78556,246.68147,106.85465
86,152,313.42102,215.73477,381.37143,330.107,249.41792,322.10464,379.6155,107.25919,253.36946,114.32339,312.515,212.10968,383.45828,326.07477,245.77194,319.36414,380.22055,104.85324,248.32281,108.65439
87,152,313.21826,218.3482,377.77557,328.58884,250.85355,322.07602,379.45212,109.72518,252.4864,114.297455,312.82996,213.62833,382.39905,326.92355,247.12825,319.7213,380.26358,106.28119,249.5215,110.19272
88,158,313.71146,220.52658,379.0874,334.03027,252.15015,325.97232,377.11145,113.45507,255.71791,119.50867,313.19098,215.46185,381.74588,328.87622,248.58183,320.96173,379.7348,108.340126,251.27516,112.69663
89,154,314.33197,222.61646,375.6602,329.84494,253.74832,327.65994,375.82925,117.51179,253.0286,115.085014,313.6801,217.57397,380.34067,329.63876,250.25908,322.492,378.944,111.13977,252.21031,113.89941
90,148,314.4776,223.46953,382.78885,339.8577,256.3529,323.81226,377.98956,115.40776,257.34268,125.812,314.17932,219.92178,380.8052,333.0205,252.6151,323.00696,378.72528,113.38658,254.27675,117.907135
91,152,316.2994,211.66861,537.5067,198.82475,396.5805,395.89264,270.8717,108.384,347.6951,209.75099,328.93265,194.22913,426.55588,294.991,295.82086,344.56793,347.17062,113.34041,282.61417,146.26569
92,152,316.99847,179.22765,321.09094,178.77786,311.0577,182.2944,310.0603,182.80351,323.06003,178.57545,323.99927,183.6776,400.79977,254.35196,307.80777,297.90552,330.99072,135.82405,300.09152,161.59515
93,153,316.94116,162.11902,306.80908,342.16272,316.35687,288.55002,319.3663,-621.3241,300.00943,463.1014,317.54517,262.26758,373.5708,272.65924,317.2592,291.54846,321.91672,-93.108574,305.93036,260.05984
94,139,313.85928,234.22626,356.4255,353.8132,272.92264,294.98422,378.95468,139.62318,249.67296,53.457134,314.1088,235.70135,366.4517,292.30054,310.5795,288.9776,333.5559,-47.45491,294.43127,214.31573
95,142,314.70172,227.62769,369.17093,326.86185,253.48505,336.52292,369.69,131.24504,249.75143,108.92587,308.64948,224.48235,364.99347,300.71277,298.43085,299.73376,341.0164,-9.548697,284.43442,191.56314
96,143,314.16034,228.85327,372.26566,339.4848,258.18918,329.95056,372.10654,125.694786,259.48016,124.408905,306.9548,220.80093,364.9902,311.08936,289.60162,306.76785,347.96207,20.574594,278.89212,176.95076
97,146,314.24158,229.90265,370.44778,341.92853,261.06122,327.6158,371.66092,125.917404,262.70355,126.85045,307.0246,220.64645,364.68597,320.2691,282.95422,312.00082,353.67438,45.95189,275.11804,165.29903
98,143,314.08746,230.89519,370.56912,344.83405,259.90677,331.24402,370.56522,127.783745,263.61032,128.73872,307.6843,222.2955,364.7358,328.49814,276.9996,317.35843,358.19272,67.849754,272.16064,155.91719
